"timestamp","pair","EUR/USD"
2026-02-05 01:46:51,EUR/USD,$1.179532
2026-02-05 01:42:51,EUR/USD,$1.181334
2026-02-05 01:26:51,EUR/USD,$1.179734
2026-02-05 01:24:51,EUR/USD,$1.181321
2026-02-05 01:22:51,EUR/USD,$1.179361
2026-02-05 01:18:51,EUR/USD,$1.180868
2026-02-05 01:04:51,EUR/USD,$1.179556
2026-02-05 01:00:51,EUR/USD,$1.181231
2026-02-05 00:52:51,EUR/USD,$1.178934
2026-02-05 00:46:51,EUR/USD,$1.180417
2026-02-05 00:14:51,EUR/USD,$1.178775
2026-02-05 00:10:51,EUR/USD,$1.180185
2026-02-05 00:08:51,EUR/USD,$1.178739
2026-02-04 23:56:51,EUR/USD,$1.180579
2026-02-04 23:26:51,EUR/USD,$1.178358
2026-02-04 22:56:51,EUR/USD,$1.179541
2026-02-04 22:12:51,EUR/USD,$1.178213
2026-02-04 20:44:51,EUR/USD,$1.179517
2026-02-04 20:38:51,EUR/USD,$1.181704
2026-02-04 20:06:51,EUR/USD,$1.180027
2026-02-04 20:04:51,EUR/USD,$1.181849
2026-02-04 19:46:51,EUR/USD,$1.180418
2026-02-04 19:44:51,EUR/USD,$1.181605
2026-02-04 19:14:51,EUR/USD,$1.180301
2026-02-04 19:00:51,EUR/USD,$1.181868
2026-02-04 18:58:51,EUR/USD,$1.179958
2026-02-04 18:56:51,EUR/USD,$1.181778
2026-02-04 18:22:51,EUR/USD,$1.180110
2026-02-04 18:20:51,EUR/USD,$1.182613
2026-02-04 18:14:51,EUR/USD,$1.179892
2026-02-04 18:12:51,EUR/USD,$1.181457
2026-02-04 18:10:51,EUR/USD,$1.180205
2026-02-04 18:06:51,EUR/USD,$1.181448
2026-02-04 18:02:51,EUR/USD,$1.180126
2026-02-04 18:00:51,EUR/USD,$1.181549
2026-02-04 17:52:51,EUR/USD,$1.180351
2026-02-04 17:50:51,EUR/USD,$1.181986
2026-02-04 17:06:51,EUR/USD,$1.180511
2026-02-04 17:04:51,EUR/USD,$1.182431
2026-02-04 15:40:51,EUR/USD,$1.181137
2026-02-04 15:04:51,EUR/USD,$1.179901
2026-02-04 14:48:51,EUR/USD,$1.181138
2026-02-04 13:54:51,EUR/USD,$1.180874
2026-02-04 13:26:51,EUR/USD,$1.179245
2026-02-04 13:12:51,EUR/USD,$1.180513
2026-02-04 12:50:51,EUR/USD,$1.179221
2026-02-04 12:24:51,EUR/USD,$1.180453
2026-02-04 12:22:51,EUR/USD,$1.179237
2026-02-04 12:18:51,EUR/USD,$1.181250
2026-02-04 09:36:51,EUR/USD,$1.179972
2026-02-04 09:14:51,EUR/USD,$1.181184
2026-02-04 09:12:51,EUR/USD,$1.182698
2026-02-04 08:14:51,EUR/USD,$1.180710
2026-02-04 06:56:51,EUR/USD,$1.182040
2026-02-04 06:50:51,EUR/USD,$1.183289
2026-02-04 05:44:51,EUR/USD,$1.181871
2026-02-04 05:42:51,EUR/USD,$1.183061
2026-02-04 05:40:51,EUR/USD,$1.180897
2026-02-04 05:38:51,EUR/USD,$1.182420
2026-02-04 05:20:51,EUR/USD,$1.180272
2026-02-04 05:18:51,EUR/USD,$1.181718
2026-02-04 05:14:51,EUR/USD,$1.180322
2026-02-04 04:56:51,EUR/USD,$1.181651
2026-02-04 04:34:51,EUR/USD,$1.180319
2026-02-04 04:30:51,EUR/USD,$1.181791
2026-02-04 04:26:51,EUR/USD,$1.180467
2026-02-04 03:38:51,EUR/USD,$1.181710
